id,word,pos,entity,count,article_id,sentence_id,pos_index
6126,原告,,,1,4,1,1
6127,牛某,,,1,4,1,2
6128,1,,,1,4,1,3
6129,向,,,1,4,1,4
6130,本院,,,1,4,1,5
6131,提出,,,1,4,1,6
6132,诉讼请求,,,1,4,1,7
6133,1,,,1,4,1,8
6134,．,,,1,4,1,9
6135,请求,,,1,4,1,10
6136,法院,,,1,4,1,11
6137,判令,,,1,4,1,12
6138,三,,,1,4,1,13
6139,被告,,,1,4,1,14
6140,立即,,,1,4,1,15
6141,共同,,,1,4,1,16
6142,连带,,,1,4,1,17
6143,归还,,,1,4,1,18
6144,原告,,,1,4,1,19
6145,借款,,,1,4,1,20
6146,本金,,,1,4,1,21
6147,3000000,,,1,4,1,22
6148,元,,,1,4,1,23
6149,并,,,1,4,1,24
6150,按照,,,1,4,1,25
6151,年利率,,,1,4,1,26
6152,24,,,1,4,1,27
6153,的,,,1,4,1,28
6154,标准,,,1,4,1,29
6155,支付,,,1,4,1,30
6156,原告,,,1,4,1,31
6157,自,,,1,4,1,32
6158,2013,,,1,4,1,33
6159,年,,,1,4,1,34
6160,6,,,1,4,1,35
6161,月,,,1,4,1,36
6162,10,,,1,4,1,37
6163,日起,,,1,4,1,38
6164,至,,,1,4,1,39
6165,三,,,1,4,1,40
6166,被告,,,1,4,1,41
6167,实际,,,1,4,1,42
6168,还清,,,1,4,1,43
6169,全部,,,1,4,1,44
6170,欠款,,,1,4,1,45
6171,之日,,,1,4,1,46
6172,的,,,1,4,1,47
6173,利息,,,1,4,1,48
6174,该,,,1,4,1,49
6175,利息,,,1,4,1,50
6176,暂计,,,1,4,1,51
6177,至,,,1,4,1,52
6178,2017,,,1,4,1,53
6179,年,,,1,4,1,54
6180,11,,,1,4,1,55
6181,月,,,1,4,1,56
6182,9,,,1,4,1,57
6183,日为,,,1,4,1,58
6184,3230000,,,1,4,1,59
6185,元,,,1,4,1,60
6186,2,,,1,4,1,61
6187,．,,,1,4,1,62
6188,请求,,,1,4,1,63
6189,法院,,,1,4,1,64
6190,判令,,,1,4,1,65
6191,三,,,1,4,1,66
6192,被告,,,1,4,1,67
6193,承担,,,1,4,1,68
6194,本案,,,1,4,1,69
6195,全部,,,1,4,1,70
6196,诉讼费用,,,1,4,1,71
6197,事实,,,1,4,2,1
6198,和,,,1,4,2,2
6199,理由,,,1,4,2,3
6200,2011,,,1,4,2,4
6201,年,,,1,4,2,5
6202,11,,,1,4,2,6
6203,月,,,1,4,2,7
6204,2,,,1,4,2,8
6205,日,,,1,4,2,9
6206,原告,,,1,4,2,10
6207,与,,,1,4,2,11
